,0,1,2,3,4,5,6,7,8
2124,0.19953,0.81041,0.48512,0.31138,0.80668,0.50102,0.42715,0.81147,0.51578
2125,0.20243,0.81051,0.48501,0.31669,0.80668,0.50081,0.43055,0.81109,0.51533
2126,0.20668,0.81034,0.48502,0.3216,0.80728,0.50085,0.43716,0.81087,0.51503
2127,0.2125,0.81015,0.4845,0.32508,0.80691,0.50004,0.44065,0.81086,0.51444
2128,0.21552,0.80949,0.48423,0.32992,0.806,0.49978,0.44589,0.8103,0.51384
2129,0.22057,0.80978,0.48341,0.33515,0.80595,0.49879,0.45093,0.80982,0.51295
2130,0.2265,0.81026,0.48285,0.33995,0.80688,0.49858,0.45456,0.81114,0.51241
2131,0.22988,0.81031,0.48193,0.3455,0.80652,0.49693,0.46128,0.81047,0.51143
2132,0.2369,0.80923,0.48042,0.34924,0.80593,0.49607,0.46517,0.81075,0.51041
2133,0.24338,0.80907,0.47982,0.35432,0.80522,0.49518,0.47049,0.80993,0.50951
2134,0.2465,0.80942,0.47986,0.3598,0.80596,0.49513,0.47557,0.81024,0.50921
2135,0.25175,0.81009,0.4796,0.36487,0.80624,0.49485,0.4811,0.81042,0.50881
2136,0.25657,0.80951,0.47773,0.36854,0.80682,0.4938,0.48478,0.8112,0.50796
2137,0.26047,0.80895,0.47739,0.37391,0.80585,0.49277,0.49005,0.81043,0.50662
2138,0.26548,0.80902,0.47637,0.37931,0.80474,0.49159,0.4957,0.80944,0.50543
2139,0.27181,0.80904,0.47554,0.38478,0.80563,0.49069,0.49974,0.81015,0.50469
2140,0.27707,0.8088,0.47431,0.39063,0.80488,0.48928,0.50758,0.8097,0.50318
2141,0.28233,0.80954,0.4741,0.39396,0.80541,0.48916,0.51064,0.81017,0.50289
2142,0.29105,0.80969,0.47211,0.39903,0.80605,0.48778,0.51639,0.81084,0.50178
2143,0.29497,0.80926,0.47183,0.40297,0.80582,0.48773,0.52214,0.80979,0.5003
2144,0.30032,0.8087,0.47091,0.41081,0.80453,0.48552,0.52805,0.80911,0.49906
2145,0.30487,0.80853,0.47089,0.41542,0.80462,0.48598,0.53171,0.80926,0.49938
2146,0.30853,0.80859,0.47032,0.41942,0.80479,0.48526,0.53631,0.80892,0.49879
2147,0.31593,0.80775,0.46886,0.42515,0.80448,0.48387,0.54248,0.80896,0.49738
2148,0.31963,0.80723,0.46777,0.43108,0.80363,0.48236,0.54863,0.80808,0.49594
2149,0.32465,0.80723,0.46763,0.43635,0.80363,0.48193,0.55367,0.80825,0.49515
2150,0.32944,0.80808,0.46679,0.43941,0.80371,0.48155,0.55678,0.80834,0.49471
2151,0.33438,0.80778,0.46545,0.44455,0.80465,0.48087,0.56239,0.80849,0.49407
2152,0.33794,0.80749,0.46453,0.45041,0.80372,0.47892,0.56809,0.80835,0.49232
2153,0.34267,0.80709,0.46348,0.45546,0.80317,0.47786,0.57343,0.80813,0.49127
2154,0.34689,0.80717,0.46327,0.45981,0.80364,0.47742,0.57648,0.80792,0.49081
2155,0.35003,0.80747,0.46229,0.46324,0.80348,0.47683,0.5815,0.80813,0.4901
2156,0.35665,0.80714,0.46077,0.46815,0.80356,0.47555,0.58645,0.8081,0.48898
2157,0.35953,0.80665,0.46003,0.47298,0.80316,0.47437,0.58993,0.80784,0.48792
2158,0.36412,0.8066,0.45951,0.4776,0.80286,0.47345,0.59591,0.80799,0.48664
2159,0.36875,0.8066,0.45842,0.48061,0.80287,0.47336,0.59922,0.80698,0.48645
2160,0.3728,0.80642,0.45729,0.48539,0.80274,0.47214,0.60259,0.80694,0.48583
2161,0.37696,0.8067,0.45702,0.48997,0.80326,0.47147,0.60877,0.80778,0.48437
2162,0.3801,0.80617,0.45604,0.49465,0.80268,0.47055,0.6138,0.8075,0.48365
2163,0.38425,0.80592,0.45537,0.49891,0.80229,0.46948,0.61636,0.80713,0.48262
2164,0.3868,0.80674,0.45503,0.50224,0.80277,0.46912,0.62133,0.80736,0.48192
2165,0.39244,0.80616,0.4537,0.50654,0.80332,0.46837,0.62547,0.80732,0.48126
2166,0.39549,0.80595,0.45322,0.51039,0.80191,0.46731,0.62977,0.80686,0.47996
2167,0.39892,0.80577,0.45271,0.51498,0.80271,0.46705,0.63428,0.80676,0.47958
2168,0.40285,0.80593,0.4521,0.51878,0.80265,0.46637,0.63704,0.80707,0.47939
2169,0.40635,0.80611,0.45159,0.52103,0.80256,0.46607,0.64062,0.80715,0.47864
2170,0.40902,0.80582,0.45077,0.52408,0.80289,0.4653,0.64498,0.80722,0.47788
2171,0.41292,0.80546,0.45026,0.52788,0.80229,0.46458,0.6488,0.80695,0.47701
2172,0.41577,0.80573,0.45009,0.53075,0.80235,0.46398,0.65087,0.80744,0.47674
2173,0.41809,0.80581,0.44921,0.53436,0.80245,0.4636,0.65562,0.807,0.47603
2174,0.42182,0.80543,0.44862,0.53805,0.8018,0.46254,0.65806,0.80651,0.47513
